stock1,stock2,model_type,w1,w2,pval,snr,mu,stdev,skewness,Emu,Estd,action
1101,2886,model3,-0.45890406845024045,0.5410959315497597,0.03666941680665325,0.6266960811696121,-0.0748299802146107,0.000679428287794634,0.029911519319179267,0.02138097530299502,0.0006897976163302991,3
1101,3231,model3,0.29770126178033385,0.702298738219666,0.01116151829653971,0.5604452771279328,3.4965447826733294,0.0006821397972612751,0.2664661416667209,1.2507430396347752,0.000635488778220345,6
1101,4938,model3,-0.5921020701150236,0.4078979298849764,0.4395290073841781,0.4022293277265487,-0.3276488904802962,0.0006099572796614477,0.33549352343452393,-0.177068917962443,0.000604838223731239,24
1101,6116,model3,0.5172419414218193,0.4827580585781807,0.03312988953810307,2.4117614219717116,2.932699747445457,0.0004396249037048714,-0.7440483467305626,1.0334404141059212,0.0004404715642153216,8
1101,6239,model3,-0.7054283512028096,0.2945716487971905,0.03509776347649374,0.3392924369663625,-1.3674877411746862,0.0007744186272649277,0.25602258159645724,-0.5288870128452478,0.0007755870518883166,8
1101,9938,model3,-0.8973006428549829,0.10269935714501713,0.8443332902819902,0.5136204765202823,-2.9656269803032567,0.0008220309242202982,0.1167253182149777,-1.043823971913854,0.0008090560894912222,13
1326,1402,model3,-0.04350276230029067,0.9564972376997093,0.2247301919392976,1.4470886569295731,3.1126358840066755,0.0008565262378446727,0.09048841898019884,1.1313538107385248,0.0008393903980943165,8
1326,2347,model3,-0.14112904348735653,0.8588709565126434,0.2482422946978433,1.439308188925256,2.6819398596745687,0.00046317392804789737,-0.02085851312337194,0.9476317406383257,0.0004651265006448488,11
1326,2357,model3,0.0,0.0,0.2755355539028116,0.3820443611696394,4.064878754022884,0.0008192094372304856,-0.5263068977040402,0.0,0.000829314075391318,24
1326,2371,model3,0.18029887041689593,0.8197011295831041,0.26536924624019914,0.6303115136760616,2.543171005968255,0.0007187266455488444,-0.28998949393723306,0.8875782449928016,0.0007248351616090822,16
1326,2834,model3,0.05087039624546424,0.9491296037545358,0.2240336436249537,0.8312037048690963,2.3368486798129093,0.0005370974232379378,0.0914097154831715,0.8345453104948808,0.0005326497964134196,9
1326,2845,model3,-0.196185027958568,0.803814972041432,0.24551388409144145,0.8187302576783476,1.3113111493343539,0.002111241262682687,-0.4368060425987868,0.40606645695007104,0.002118866827593,0
1326,2880,model3,0.0,0.0,0.21331437556309246,0.3821818010571386,2.098627703048706,0.00161709229686242,0.1475102436344793,0.0,0.0016538788011176253,8
1326,2887,model3,-0.06539970060570013,0.9346002993942998,0.2435746610213912,1.0690696496739138,1.9561502898264709,0.0015064074256784202,-0.11242468176692534,0.7940988230858665,0.00150826693053458,11
1326,2915,model3,0.047518178529881966,0.9524818214701181,0.23212267633958314,0.3638924336170409,4.1987051361344365,0.0009198014751528764,0.04606869049565941,1.4348270295634238,0.0009261705293926153,19
1326,3189,model3,0.14590531377255125,0.8540946862274487,0.22539060615779544,0.7739436095558846,4.589020177524046,0.0023247635815157874,0.5405266860150583,1.5215238439273573,0.002338227327298103,10
1326,3231,model3,0.07007816161762274,0.9299218383823772,0.28481643367011505,0.5431728568352828,3.437234972714215,0.0009008878262650313,0.336558690170521,1.2342921873551296,0.0008283172740884731,13
1326,6176,model3,0.04466383220681872,0.9553361677931812,0.1496020093781352,0.512868011249555,4.6218824975915265,0.002794357855011889,-0.29762522341332104,1.5321704414806836,0.002830564520231693,9
1326,6239,model3,-0.2536899277816043,0.7463100722183956,0.20811915772086192,0.29063731524154296,1.91122225539194,0.001216888981960695,1.4431970770709066,0.6653756308594176,0.0011852716349173812,8
1605,2002,model1,-0.5860114271572793,0.4139885728427207,0.8473698594448795,0.5048685244754072,8.959674851672557e-06,0.0006436499911259676,-0.1378562590766875,0.0005193509650633308,0.0006436975426191317,8
1605,2352,model3,0.0,0.0,0.01979984405423536,0.3420938992850103,-2.1022327768161926,0.0008228147558510318,-0.7072441702664665,0.0,0.0008438507167902147,24
1605,2377,model3,-0.8994715892971944,0.10052841070280558,0.16720253851029893,0.3112110833332865,-2.0816345709629087,0.0008565663347282778,-0.2919205671524249,-0.6201925039703865,0.0008704358808668353,24
1605,2834,model1,0.1545346522190536,0.8454653477809464,0.7870505419589923,0.24861774692126398,1.6972356122752313e-05,0.0006337237838316325,0.2520771239967565,0.806861246487042,0.0006251859016702438,0
1605,2845,model1,-0.6490166723606416,0.3509833276393583,0.9067590459823288,0.7375423988217964,-3.918832268898775e-05,0.001325936770525442,-0.8451532526295186,-0.2394433997730781,0.0013320310172220866,13
