stock1,stock2,model_type,w1,w2,pval,snr,mu,stdev,skewness,Emu,Estd,action,dtw_distance
1301,2383,model1,-0.5206899456426091,0.4793100543573909,0.7820579750663609,0.4103371134828025,3.912265837191953e-05,0.0013836882355774194,-0.6327289320828651,-8.881784197001252e-16,0.0013770692968062587,24,0.1319963423581214
1301,2801,model1,-0.3818141704204493,0.6181858295795507,0.8014994696379298,0.7345970365431564,-0.0001237128154160431,0.0008014987529381582,-0.015231063581875941,4.705125178361413e-13,0.0007868051872152708,24,0.07628196934130038
1301,2834,model3,0.2887506611097473,0.7112493388902527,0.010845745658182472,0.20019537684173733,2.7994011603817355,0.000924278382186902,0.4903139934152504,2.7994481093076957,0.0009216246872126597,24,0.07689427563818696
1301,2884,model3,-0.27437604989971137,0.7256239501002887,0.07199106156399708,0.8302317203653612,0.8507540579733259,0.0006742466497794428,0.3723905503980365,0.8507182501053199,0.0006526496356642983,8,0.06365195300388349
1301,3406,model3,-0.8149629744672273,0.18503702553277265,0.11595254547716413,0.3948737028386353,-2.614258494299272,0.001015747629669248,0.05311871410891746,-2.614308433815628,0.0009939280985471542,10,0.0714215591165499
1101,1216,model3,-0.6216905850126263,0.3783094149873736,0.02295470078550537,0.6778399978791275,-0.6606379678149366,0.0006062044728672076,-0.007576688743560717,-0.6606454902235359,0.0006081299510293485,4,0.04656808790626821
1101,1504,model3,-0.7789131865558866,0.22108681344411327,0.04352963392462921,0.60914813011349,-2.014448873776058,0.0007505618418608666,-0.4783614224888761,-2.014443812596993,0.0007554781482180908,4,0.06757308931449968
1101,1536,model3,-0.8819524846857152,0.11804751531428485,0.007303306256235114,0.40003806116160745,-2.532843634002701,0.0008559666163745519,-0.6486134316577538,-2.5328964980007345,0.0008398895419022098,8,0.07596007803518301
1101,1605,model2,-0.8581015691547049,-0.14189843084529502,0.001,0.7185859525212189,-3.399780853441844,0.000781983576111867,-0.1741011553498133,-3.3997896073891414,0.0007822378936463158,9,0.06455408635329718
1101,2324,model2,-0.8580925581565338,0.14190744184346615,0.001,0.5627362342218039,-2.6029172359089534,0.0007375521504294581,0.23284923443254604,-2.6029171942190352,0.000739178399815395,8,0.07560133402661151
1101,2409,model2,-0.7714469418764225,-0.2285530581235775,0.001,0.8261526624198962,-3.2879289204714577,0.0007228895581480031,-0.4044347915156643,-3.2879609866102606,0.0007237919204420367,16,0.05898391992153629
1101,2812,model3,-0.9164810733375436,-0.08351892666245644,0.0262299759684452,0.4106535574713649,-3.422830894891205,0.0008508818527204852,-0.4449819208762306,-3.42283399196631,0.0008557415078998175,24,0.08811475218342224
1101,2883,model3,-0.8795993325809559,0.12040066741904396,0.04107274626739476,0.5043895411919428,-2.8368871423458653,0.00072278853716008,-0.4006358160191187,-2.8368790910473862,0.0007268964991224535,11,0.08280212850936763
1101,2884,model1,-0.4496069366021897,0.5503930633978102,0.9205935801838312,1.697908274078039,1.5307833679763706e-05,0.0005399986952402574,0.1218338638426094,1.6653345369377345e-14,0.0005352375216410668,8,0.04274386474489056
1101,2888,model3,-0.8401106062646089,0.15988939373539124,0.11285884527433135,0.635385862118013,-2.6246642808104355,0.0006772046448419292,-0.3630656827731917,-2.6246697527987286,0.0006808411842577938,8,0.07603302298140102
1101,2912,model3,-0.7897839183944735,0.21021608160552646,0.010164537374561024,0.4885131198218865,-1.6250477298776909,0.0007092928958869996,-0.2461084176786524,-1.6249797843774547,0.0007163444563247162,11,0.07070197136460266
1101,3406,model3,-0.903067617558068,0.096932382441932,0.017161918064446464,0.4856269660593721,-2.625324313344889,0.0007852567669822796,-0.2314643317045112,-2.62530636169916,0.0007967601348207543,5,0.08647225770574396
1605,2103,model2,0.14280257421483356,-0.8571974257851664,0.001,0.6527586627938561,-2.5999619216218184,0.0009720330342733273,-0.30879448285076544,-2.5999351651366363,0.0009496534003814463,8,0.0945532052722537
1605,2303,model3,-0.4962224381572857,0.5037775618427143,0.02687192712975519,0.2406883935629731,0.028401403668053663,0.002038867506821208,-0.5030179411195288,0.028458368626896883,0.002066539561969216,5,0.18667087677955996
